PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
34566.19,34742.36,34569.6775,33725.32875,32721.0875,32089.77125,,,32730.14122,32730.01908,32725.97247,32491.89013,32089.74095,,,33556.66136,33557.10411,33558.25665,33357.16025,32405.60007,,,33679.68561,33679.42619,33688.09385,33879.97723,32692.56496,,,34918.53,34918.53,34918.53,34918.53,34918.53,,,34566.19,34117.59,31776.66,30743.06,29029.04,,
34816.72,34691.455,34744.46,34105.33625,32803.06,32261.74719,,,32849.37429,32849.25913,32845.44376,32624.73755,32245.56833,,,33741.08446,33741.50849,33742.81319,33565.81981,32690.30131,,,33918.54364,33918.2814,33926.59723,34130.24154,33082.37784,,,34816.72,34918.53,34918.53,34918.53,34918.53,,,34566.19,34566.19,32099.98,30743.06,29029.04,,
36769.36,35793.04,35267.7,34689.00875,33096.8425,32498.64375,,,33067.15128,33067.04252,33063.4391,32854.99436,32496.89009,,,34115.00026,34115.40677,34116.83918,33961.25902,33154.27512,,,34430.06502,34429.80081,34437.77526,34650.3296,33725.40767,,,36769.36,36769.36,36769.36,36769.36,36769.36,,,34816.72,34566.19,33697.75,30743.06,29029.04,,
37454.48,37111.92,35901.6875,35158.6,33516.30625,32761.93875,,,33304.30418,33304.2013,33300.79267,33103.6152,32764.86792,,,34519.8465,34520.2366,34521.77583,34385.26366,33640.21117,,,34976.50958,34976.24412,34983.88857,35202.99076,34386.64839,,,37454.48,37454.48,37454.48,37454.48,37454.48,,,36769.36,34566.19,33949.53,30817.77,29331.69,,
36859.85,37157.165,36475.1025,35522.39,33835.93938,32997.19375,,,33491.43817,33491.3407,33488.11147,33301.31177,32980.39329,,,34820.28941,34820.66411,34822.29229,34702.79653,34013.84778,,,35360.26289,35359.99681,35367.32318,35591.0145,34870.78842,,,37454.48,37454.48,37454.48,37454.48,37454.48,,,36859.85,34816.72,34117.59,30817.77,29351.95,,
37822.09,37340.97,37226.445,35985.4525,34220.72563,33261.88563,,,33713.52288,33713.43041,33710.36678,33533.14655,33228.68543,,,35184.92366,35185.28388,35186.98567,35082.70612,34444.70146,,,35832.44548,35832.17932,35839.19982,36065.85567,35430.89584,,,37822.09,37822.09,37822.09,37822.09,37822.09,,,36859.85,36769.36,34566.19,30817.77,29750,,
38970.42,38396.255,37776.71,36522.205,34657.0825,33550.02375,,,33976.36774,33976.27989,33973.36944,33805.01022,33515.77216,,,35623.90109,35624.24769,35626.00992,35535.3623,34943.71978,,,36406.37276,36406.10697,36412.83386,36641.10726,36081.93945,,,38970.42,38970.42,38970.42,38970.42,38970.42,,,37822.09,36859.85,34566.19,30817.77,29755,,
39062,39016.21,38178.59,37040.13875,35148.4575,33840.8675,,,34224.44736,34224.3638,34221.59532,34061.44875,33786.31986,,,36027.59141,36027.92518,36029.73649,35951.32274,35401.96175,,,36919.91367,36919.64863,36926.09407,37154.86927,36663.19696,,,39062,39062,39062,39062,39062,,,38970.42,36859.85,34566.19,30817.77,30743.06,,
39432.28,39247.14,38821.6975,37648.4,35686.86438,34082.77344,,,34472.43939,34472.35981,34469.72316,34317.20262,34055.1751,,,36425.90232,36426.22399,36428.0746,36360.65772,35849.93428,,,37418.89389,37418.62995,37424.80589,37653.16024,37221.69856,,,39432.28,39432.28,39432.28,39432.28,39432.28,,,39062,37822.09,34816.72,31776.66,30743.06,,
38347.1,38889.69,38952.95,38089.6975,36097.51687,34249.02031,,,34652.65616,34652.58028,34650.06627,34504.63971,34254.79952,,,36687.09495,36687.40519,36689.28665,36631.76947,36156.42108,,,37711.1104,37710.84783,37716.76594,37943.93841,37566.27441,,,39432.28,39432.28,39432.28,39432.28,39432.28,,,38347.1,38347.1,36769.36,32099.98,30743.06,,
38930.55,38638.825,38942.9825,38359.84625,36524.4275,34460.02719,,,34847.10588,34847.03345,34844.63372,34705.81745,34467.33363,,,36974.68127,36974.9807,36976.88573,36928.29279,36485.39132,,,38041.05369,38040.79274,38046.46433,38271.82938,37942.30399,,,38930.55,39432.28,39432.28,39432.28,39432.28,,,38347.1,38347.1,36859.85,33697.75,30743.06,,
41286.67,40108.61,39499.15,38838.87,36998.735,34732.30219,,,35133.30873,35133.23952,35130.94644,34998.29978,34770.41525,,,37439.80794,37440.09714,37442.01941,37401.48156,36988.3928,,,38629.75767,38629.49855,38634.93455,38857.98046,38571.58834,,,41286.67,41286.67,41286.67,41286.67,41286.67,,,38930.55,38347.1,36859.85,33949.53,30743.06,,
40829.08,41057.875,39848.35,39335.02375,37428.70687,34931.57531,,,35380.95096,35380.88476,35378.69138,35251.81197,35033.83545,,,37824.04277,37824.32227,37826.25633,37792.9975,37407.34636,,,39092.90935,39092.65222,39097.86315,39318.17394,39070.47834,,,41286.67,41286.67,41286.67,41286.67,41286.67,,,40829.08,38347.1,37822.09,34117.59,30743.06,,
40365.09,40597.085,40352.8475,39652.89875,37819.17562,35117.56156,,,35593.04198,35592.9786,35590.87855,35469.39827,35260.69735,,,38135.23831,38135.50862,38137.44974,38110.77555,37750.41599,,,39444.99788,39444.74288,39449.73883,39666.97914,39454.03912,,,40829.08,41286.67,41286.67,41286.67,41286.67,,,40365.09,38930.55,38347.1,34566.19,30743.06,,
40582.81,40473.95,40765.9125,39854.4475,38188.32625,35338.6925,,,35800.94898,35800.88824,35798.8757,35682.45709,35482.45204,,,38436.46468,38436.72625,38438.67035,38417.95836,38080.94732,,,39781.08198,39780.82924,39785.61988,39999.52229,39817.83043,,,40582.81,41286.67,41286.67,41286.67,41286.67,,,40365.09,40365.09,38347.1,34566.19,30743.06,,
40211.59,40397.2,40497.1425,39998.14625,38519.1425,35571.17313,,,35980.97515,35980.91688,35978.98648,35867.31966,35675.47808,,,38681.59693,38681.8502,38683.79374,38668.48497,38353.05975,,,40033.78059,40033.53021,40038.12477,40248.47915,40094.90805,,,40582.81,40829.08,41286.67,41286.67,41286.67,,,40211.59,40211.59,38347.1,34566.19,30743.06,,
39638.61,39925.1,40199.525,40023.9375,38836.16875,35778.62813,,,36127.28054,36127.22461,36125.37142,36018.17127,35834.00336,,,38860.33063,38860.57601,38862.51594,38852.10752,38556.66603,,,40189.55812,40189.31017,40193.71748,40400.36203,40272.11815,,,40211.59,40582.81,41286.67,41286.67,41286.67,,,39638.61,39638.61,38347.1,34816.72,30743.06,,
40565.77,40102.19,40249.695,40301.27125,39195.48438,35999.27219,,,36301.33895,36301.28521,36299.5047,36196.50847,36019.56284,,,39094.44319,39094.68106,39096.61474,39090.65356,38813.73705,,,40429.24321,40428.99776,40433.22623,40636.03991,40530.62372,,,40565.77,40582.81,41286.67,41286.67,41286.67,,,39638.61,39638.61,38930.55,36769.36,30743.06,,
40525.15,40545.46,40235.28,40500.59625,39430.22125,36263.53188,,,36463.79322,36463.74155,36462.02952,36362.99469,36192.85465,,,39305.67641,39305.90712,39307.83226,39305.90939,39046.18737,,,40636.04079,40635.7979,40639.85554,40838.75168,40753.92311,,,40565.77,40565.77,41286.67,41286.67,41286.67,,,40525.15,39638.61,39638.61,36859.85,30743.06,,
40665.91,40595.53,40348.86,40423.00125,39630.93563,36573.62094,,,36622.36367,36622.31394,36620.66652,36525.36885,36361.64919,,,39509.59263,39509.81651,39511.73118,39513.47701,39269.73392,,,40833.3892,40833.14891,40837.04334,41031.96422,40965.71269,,,40665.91,40665.91,40829.08,41286.67,41286.67,,,40525.15,39638.61,39638.61,36859.85,30817.77,,
