PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
8145.28,8109.485,7969.675,7869.35875,7672.626875,7474.38,,,7546.631336,7546.613862,7547.317027,7547.928246,7507.691295,,,7763.399055,7763.422939,7762.819156,7760.73477,7685.816479,,,7883.646358,7883.703094,7882.116338,7878.335143,7823.473998,,,8145.28,8145.28,8145.28,8145.28,8145.28,,,8073.69,7764.59,7539.9,7358.75,6952.04,,
8300.34,8222.81,8070.975,7964.41375,7727.5025,7515.538438,,,7581.687553,7581.670891,7582.341351,7582.924142,7544.558677,,,7821.798748,7821.822296,7821.215412,7819.200867,7749.551588,,,7958.710885,7958.764663,7957.248752,7953.710019,7906.424498,,,8300.34,8300.34,8300.34,8300.34,8300.34,,,8145.28,7764.59,7758,7358.75,6952.04,,
8297.26,8298.8,8204.1425,8031.82125,7779.305,7557.149375,,,7614.213573,7614.197669,7614.837653,7615.393953,7578.772373,,,7874.458188,7874.481388,7873.873,7871.924739,7807.105953,,,8024.365311,8024.416312,8022.96787,8019.65326,7979.128006,,,8300.34,8300.34,8300.34,8300.34,8300.34,,,8297.26,8073.69,7764.59,7358.75,6952.04,,
8332.47,8314.865,8268.8375,8086.5175,7834.825625,7600.287813,,,7646.136081,7646.120884,7646.732424,7647.264,7612.270045,,,7925.317998,7925.340843,7924.732314,7922.847018,7862.464353,,,8086.658227,8086.706621,8085.322421,8082.215292,8047.730121,,,8332.47,8332.47,8332.47,8332.47,8332.47,,,8297.26,8145.28,7764.59,7358.75,7203.21,,
8305.97,8319.22,8309.01,8139.3425,7894.026875,7634.749063,,,7674.824512,7674.809976,7675.394928,7675.903391,7642.430913,,,7969.309193,7969.331677,7968.724173,7966.898739,7910.596733,,,8138.272056,8138.318001,8136.994963,8134.080187,8104.997609,,,8332.47,8332.47,8332.47,8332.47,8332.47,,,8305.97,8297.26,7764.59,7507.91,7318.99,,
7963.35,8134.66,8224.7625,8147.86875,7920.43,7654.214375,,,7687.102192,7687.088275,7687.648335,7688.135162,7656.087044,,,7980.810836,7980.832956,7980.227471,7978.458998,7925.916572,,,8141.840776,8141.884416,8140.619611,8137.883406,8113.637983,,,8305.97,8332.47,8332.47,8332.47,8332.47,,,7963.35,7963.35,7764.59,7507.91,7318.99,,
8055.98,8009.665,8164.4425,8184.2925,7954.684375,7677.208125,,,7702.472101,7702.458763,7702.995488,7703.46203,7672.749251,,,7998.672381,7998.694134,7998.091514,7996.377289,7947.30383,,,8155.380556,8155.422028,8154.212669,8151.642459,8131.731688,,,8055.98,8332.47,8332.47,8332.47,8332.47,,,7963.35,7963.35,7963.35,7519.99,7318.99,,
7954.72,8005.35,8070.005,8169.42125,7980.309375,7696.321875,,,7712.767934,7712.75514,7713.269957,7713.717457,7684.258261,,,8006.754,8006.775388,8006.176352,8004.51383,7958.645785,,,8154.942087,8154.981516,8153.824956,8151.409245,8135.38574,,,8055.98,8305.97,8332.47,8332.47,8332.47,,,7954.72,7954.72,7954.72,7519.99,7318.99,,
7949.84,7952.28,7980.9725,8144.99125,8007.175,7715.224375,,,7722.250816,7722.238535,7722.732759,7723.162359,7694.881531,,,8013.581008,8013.602031,8013.007187,8011.393982,7968.491893,,,8153.291931,8153.329432,8152.22316,8149.951421,8137.416173,,,7954.72,8055.98,8332.47,8332.47,8332.47,,,7949.84,7949.84,7949.84,7539.9,7318.99,,
7878.56,7914.2,7959.775,8092.26875,8028.34125,7732.269688,,,7728.380588,7728.368788,7728.843631,7729.256384,7702.084608,,,8014.175455,8014.196117,8013.605979,8012.03985,7971.885755,,,8143.089265,8143.124949,8142.06658,8139.92916,8130.525721,,,7949.84,8055.98,8332.47,8332.47,8332.47,,,7878.56,7878.56,7878.56,7758,7318.99,,
